			atom__symbol	atom__symbol	atom__symbol	atom__symbol	atom__symbol	atom__symbol	atom__symbol	atom__symbol	atom__symbol	atom__symbol	anything__symbol	bracket__symbol	bracket__symbol	bond__symbol	bond__symbol	bond__symbol	bond__symbol	bond__symbol	bond__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	cis_trans__symbol	cis_trans__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol
			atom_oar	atom_oal	atom_bar	atom_bal	atom_oal_2	atom_oal_2	atom_bar_2	atom_bar_2	atom_bal_2	atom_bal_2	anything	bracket	bracket	single_bond	double_bond	triple_bond	quadruple_bond	aromatic_bond	no_bond	bm_ibi	bm_iri	bm_tbi	bm_tri	bm_ibe_2	bm_ibe_2	bm_ire_2	bm_ire_2	bm_iri_3	bm_iri_3	bm_ire_4	bm_ire_4	bm_ire_4	bm_tbe_2	bm_tbe_2	bm_tre_2	bm_tre_2	bm_tre_4	bm_tre_4	bm_tre_4	bm_tri_3	bm_tri_3	ct	ct	isotope	isotope_m	isotope_m	chiral	chiral_2	chiral_2	chiral_m	chiral_m	chiral_m	hydro	hydro_2	hydro_2	charge	charge_2	charge_2	charge_m	charge_m	class_m	class_m
			w_atom_oar	w_atom_oal	w_atom_bar	w_atom_bal	s_atom_oal	e_atom_oal	s_atom_bar	e_atom_bar	s_atom_bal	e_atom_bal	w_anything	s_bracket	e_bracket	w_single_bond	w_double_bond	w_triple_bond	w_quadruple_bond	w_aromatic_bond	w_no_bond	w_bm_ibi	w_bm_iri	w_bm_tbi	w_bm_tri	s_bm_ibe	e_bm_ibe	s_bm_ire	e_bm_ire	s_bm_iri	r_bm_iri	s_bm_ire_4	n_bm_ire	r_bm_ire	s_bm_tbe	e_bm_tbe	s_bm_tre	e_bm_tre	s_bm_tre_4	n_bm_tre	r_bm_tre	s_bm_tri	r_bm_tri	l_ct	r_ct	w_isotope	s_isotope	r_isotope	w_chiral	s_chiral	e_chiral	s_chiral_m	m_chiral	r_chiral	w_hydro	s_hydro	e_hydro	w_charge	s_charge	e_charge	s_charge_m	r_charge	s_class	r_class
atom__symbol 	 atom_oar 	 w_atom_oar 	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_oal 	 w_atom_oal 	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_bar 	 w_atom_bar 	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_bal 	 w_atom_bal 	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_oal_2 	 s_atom_oal 	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_oal_2 	 e_atom_oal 	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_bar_2 	 s_atom_bar 	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_bar_2 	 e_atom_bar 	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_bal_2 	 s_atom_bal 	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_bal_2 	 e_atom_bal 	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
anything__symbol 	 anything 	 w_anything 	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bracket__symbol 	 bracket 	 s_bracket 	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bracket__symbol 	 bracket 	 e_bracket 	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bond__symbol 	 single_bond 	 w_single_bond 	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bond__symbol 	 double_bond 	 w_double_bond 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bond__symbol 	 triple_bond 	 w_triple_bond 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bond__symbol 	 quadruple_bond 	 w_quadruple_bond 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
bond__symbol 	 aromatic_bond 	 w_aromatic_bond 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	
bond__symbol 	 no_bond 	 w_no_bond 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_ibi 	 w_bm_ibi 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_iri 	 w_bm_iri 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
modifier__symbol 	 bm_tbi 	 w_bm_tbi 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_tri 	 w_bm_tri 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
modifier__symbol 	 bm_ibe_2 	 s_bm_ibe 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_ibe_2 	 e_bm_ibe 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	10	0	0	0	10	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_ire_2 	 s_bm_ire 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	10	0	0	0	10	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_ire_2 	 e_bm_ire 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
modifier__symbol 	 bm_iri_3 	 s_bm_iri 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_iri_3 	 r_bm_iri 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
modifier__symbol 	 bm_ire_4 	 s_bm_ire_4 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	10	0	0	0	10	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_ire_4 	 n_bm_ire 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_ire_4 	 r_bm_ire 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
modifier__symbol 	 bm_tbe_2 	 s_bm_tbe 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_tbe_2 	 e_bm_tbe 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	10	0	0	0	10	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_tre_2 	 s_bm_tre 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	10	0	0	0	10	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_tre_2 	 e_bm_tre 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
modifier__symbol 	 bm_tre_4 	 s_bm_tre_4 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	10	0	0	0	10	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_tre_4 	 n_bm_tre 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_tre_4 	 r_bm_tre 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
modifier__symbol 	 bm_tri_3 	 s_bm_tri 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
modifier__symbol 	 bm_tri_3 	 r_bm_tri 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
cis_trans__symbol 	 ct 	 l_ct 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
cis_trans__symbol 	 ct 	 r_ct 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
features__symbol 	 isotope 	 w_isotope 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
features__symbol 	 isotope_m 	 s_isotope 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
features__symbol 	 isotope_m 	 r_isotope 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
features__symbol 	 chiral 	 w_chiral 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	
features__symbol 	 chiral_2 	 s_chiral 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	
features__symbol 	 chiral_2 	 e_chiral 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	
features__symbol 	 chiral_m 	 s_chiral_m 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	
features__symbol 	 chiral_m 	 m_chiral 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	
features__symbol 	 chiral_m 	 r_chiral 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
features__symbol 	 hydro 	 w_hydro 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	
features__symbol 	 hydro_2 	 s_hydro 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	
features__symbol 	 hydro_2 	 e_hydro 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
features__symbol 	 charge 	 w_charge 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	0	
features__symbol 	 charge_2 	 s_charge 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	0	
features__symbol 	 charge_2 	 e_charge 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	0	
features__symbol 	 charge_m 	 s_charge_m 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	0	
features__symbol 	 charge_m 	 r_charge 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
features__symbol 	 class_m 	 s_class 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	
features__symbol 	 class_m 	 r_class 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0	10	0	0	10	0	0	0	10	0	0	10	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	10	0	0	0	0	10	0	10	
