left_symbClass	right_symbClass
isotope	atom_bar
isotope	atom_bal_2
isotope_m	atom_bar
isotope_m	atom_bal_2
isotope	atom_bar_2
isotope_m	atom_bar_2
isotope	atom_bal
isotope_m	atom_bal
bracket	isotope
bracket	isotope_m
isotope_m	isotope_m
atom_bar	chiral_m
atom_bal_2	chiral_m
atom_bar_2	chiral_m
atom_bal	chiral_m
chiral_m	chiral_m
atom_bar	hydro
atom_bar	hydro_2
atom_bal_2	hydro
atom_bal_2	hydro_2
atom_bar_2	hydro
atom_bar_2	hydro_2
atom_bal	hydro
atom_bal	hydro_2
chiral_m	hydro
chiral_m	hydro_2
hydro_2	hydro_2
chiral	hydro
chiral	hydro_2
chiral_2	hydro
chiral_2	hydro_2
chiral_m	bracket
hydro	bracket
hydro_2	bracket
charge	bracket
charge_2	bracket
charge_m	bracket
class_m	bracket
chiral	bracket
chiral_2	bracket
atom_bar	charge
atom_bar	charge_2
atom_bar	charge_m
atom_bal_2	charge
atom_bal_2	charge_2
atom_bal_2	charge_m
atom_bar_2	charge
atom_bar_2	charge_2
atom_bar_2	charge_m
atom_bal	charge
atom_bal	charge_2
atom_bal	charge_m
chiral_m	charge
chiral_m	charge_2
chiral_m	charge_m
hydro	charge
hydro	charge_2
hydro	charge_m
hydro_2	charge
hydro_2	charge_2
hydro_2	charge_m
charge_2	charge_2
charge_m	charge_m
chiral	charge
chiral	charge_2
chiral	charge_m
chiral_2	charge
chiral_2	charge_2
chiral_2	charge_m
atom_bar	class_m
atom_bal_2	class_m
atom_bar_2	class_m
atom_bal	class_m
chiral_m	class_m
hydro	class_m
hydro_2	class_m
charge	class_m
charge_2	class_m
charge_m	class_m
class_m	class_m
chiral	class_m
chiral_2	class_m
atom_bar	chiral
atom_bar	chiral_2
atom_bal_2	chiral
atom_bal_2	chiral_2
atom_bar_2	chiral
atom_bar_2	chiral_2
atom_bal	chiral
atom_bal	chiral_2
chiral_2	chiral_2
atom_bal_2	atom_bal_2
bracket	atom_bar
bracket	atom_bal_2
atom_bar_2	atom_bar_2
bracket	atom_bar_2
bracket	atom_bal
atom_bar	bracket
atom_bal_2	bracket
atom_bar_2	bracket
atom_bal	bracket
atom_oar	atom_oar
atom_oal	atom_oar
atom_oal_2	atom_oar
anything	atom_oar
bracket	atom_oar
single_bond	atom_oar
bm_ibe_2	atom_oar
bm_ire_2	atom_oar
bm_ire_4	atom_oar
bm_tbe_2	atom_oar
bm_tre_2	atom_oar
bm_tre_4	atom_oar
double_bond	atom_oar
triple_bond	atom_oar
quadruple_bond	atom_oar
aromatic_bond	atom_oar
no_bond	atom_oar
bm_ibi	atom_oar
bm_iri	atom_oar
bm_tri	atom_oar
bm_iri_3	atom_oar
bm_tri_3	atom_oar
bm_tbi	atom_oar
ct	atom_oar
atom_oar	atom_oal
atom_oar	atom_oal_2
atom_oal	atom_oal
atom_oal	atom_oal_2
atom_oal_2	atom_oal
atom_oal_2	atom_oal_2
anything	atom_oal
anything	atom_oal_2
bracket	atom_oal
bracket	atom_oal_2
single_bond	atom_oal
single_bond	atom_oal_2
bm_ibe_2	atom_oal
bm_ibe_2	atom_oal_2
bm_ire_2	atom_oal
bm_ire_2	atom_oal_2
bm_ire_4	atom_oal
bm_ire_4	atom_oal_2
bm_tbe_2	atom_oal
bm_tbe_2	atom_oal_2
bm_tre_2	atom_oal
bm_tre_2	atom_oal_2
bm_tre_4	atom_oal
bm_tre_4	atom_oal_2
double_bond	atom_oal
double_bond	atom_oal_2
triple_bond	atom_oal
triple_bond	atom_oal_2
quadruple_bond	atom_oal
quadruple_bond	atom_oal_2
aromatic_bond	atom_oal
aromatic_bond	atom_oal_2
no_bond	atom_oal
no_bond	atom_oal_2
bm_ibi	atom_oal
bm_ibi	atom_oal_2
bm_iri	atom_oal
bm_iri	atom_oal_2
bm_tri	atom_oal
bm_tri	atom_oal_2
bm_iri_3	atom_oal
bm_iri_3	atom_oal_2
bm_tri_3	atom_oal
bm_tri_3	atom_oal_2
bm_tbi	atom_oal
bm_tbi	atom_oal_2
ct	atom_oal
ct	atom_oal_2
atom_oar	anything
atom_oal	anything
atom_oal_2	anything
atom_oar	bracket
atom_oal	bracket
atom_oal_2	bracket
atom_oar	single_bond
atom_oar	bm_ibe_2
atom_oar	bm_ire_2
atom_oar	bm_ire_4
atom_oar	bm_tbe_2
atom_oar	bm_tre_2
atom_oar	bm_tre_4
atom_oal	single_bond
atom_oal	bm_ibe_2
atom_oal	bm_ire_2
atom_oal	bm_ire_4
atom_oal	bm_tbe_2
atom_oal	bm_tre_2
atom_oal	bm_tre_4
atom_oal_2	single_bond
atom_oal_2	bm_ibe_2
atom_oal_2	bm_ire_2
atom_oal_2	bm_ire_4
atom_oal_2	bm_tbe_2
atom_oal_2	bm_tre_2
atom_oal_2	bm_tre_4
atom_oar	double_bond
atom_oal	double_bond
atom_oal_2	double_bond
atom_oar	triple_bond
atom_oal	triple_bond
atom_oal_2	triple_bond
atom_oar	quadruple_bond
atom_oal	quadruple_bond
atom_oal_2	quadruple_bond
atom_oar	aromatic_bond
atom_oal	aromatic_bond
atom_oal_2	aromatic_bond
atom_oar	no_bond
atom_oal	no_bond
atom_oal_2	no_bond
atom_oar	bm_ibi
atom_oal	bm_ibi
atom_oal_2	bm_ibi
atom_oar	bm_iri
atom_oar	bm_tri
atom_oar	bm_iri_3
atom_oar	bm_tri_3
atom_oal	bm_iri
atom_oal	bm_tri
atom_oal	bm_iri_3
atom_oal	bm_tri_3
atom_oal_2	bm_iri
atom_oal_2	bm_tri
atom_oal_2	bm_iri_3
atom_oal_2	bm_tri_3
atom_oar	bm_tbi
atom_oal	bm_tbi
atom_oal_2	bm_tbi
atom_oar	ct
atom_oal	ct
atom_oal_2	ct
single_bond	anything
bm_ibe_2	anything
bm_ire_2	anything
bm_ire_4	anything
bm_tbe_2	anything
bm_tre_2	anything
bm_tre_4	anything
double_bond	anything
triple_bond	anything
quadruple_bond	anything
aromatic_bond	anything
no_bond	anything
bm_ibi	anything
bm_iri	anything
bm_tri	anything
bm_iri_3	anything
bm_tri_3	anything
bm_tbi	anything
single_bond	bracket
bm_ibe_2	bracket
bm_ire_2	bracket
bm_ire_4	bracket
bm_tbe_2	bracket
bm_tre_2	bracket
bm_tre_4	bracket
double_bond	bracket
triple_bond	bracket
quadruple_bond	bracket
aromatic_bond	bracket
no_bond	bracket
bm_ibi	bracket
bm_iri	bracket
bm_tri	bracket
bm_iri_3	bracket
bm_tri_3	bracket
bm_tbi	bracket
anything	single_bond
anything	bm_ibe_2
anything	bm_ire_2
anything	bm_ire_4
anything	bm_tbe_2
anything	bm_tre_2
anything	bm_tre_4
bracket	single_bond
bracket	bm_ibe_2
bracket	bm_ire_2
bracket	bm_ire_4
bracket	bm_tbe_2
bracket	bm_tre_2
bracket	bm_tre_4
bm_ibe_2	bm_ibe_2
bm_ibe_2	bm_ire_2
bm_ibe_2	bm_ire_4
bm_ibe_2	bm_tbe_2
bm_ibe_2	bm_tre_2
bm_ibe_2	bm_tre_4
bm_ire_2	bm_ibe_2
bm_ire_2	bm_ire_2
bm_ire_2	bm_ire_4
bm_ire_2	bm_tbe_2
bm_ire_2	bm_tre_2
bm_ire_2	bm_tre_4
bm_ire_4	bm_ibe_2
bm_ire_4	bm_ire_2
bm_ire_4	bm_ire_4
bm_ire_4	bm_tbe_2
bm_ire_4	bm_tre_2
bm_ire_4	bm_tre_4
bm_tbe_2	bm_ibe_2
bm_tbe_2	bm_ire_2
bm_tbe_2	bm_ire_4
bm_tbe_2	bm_tbe_2
bm_tbe_2	bm_tre_2
bm_tbe_2	bm_tre_4
bm_tre_2	bm_ibe_2
bm_tre_2	bm_ire_2
bm_tre_2	bm_ire_4
bm_tre_2	bm_tbe_2
bm_tre_2	bm_tre_2
bm_tre_2	bm_tre_4
bm_tre_4	bm_ibe_2
bm_tre_4	bm_ire_2
bm_tre_4	bm_ire_4
bm_tre_4	bm_tbe_2
bm_tre_4	bm_tre_2
bm_tre_4	bm_tre_4
bm_ibi	bm_ibe_2
bm_ibi	bm_ire_2
bm_ibi	bm_ire_4
bm_ibi	bm_tbe_2
bm_ibi	bm_tre_2
bm_ibi	bm_tre_4
bm_iri	bm_ibe_2
bm_iri	bm_ire_2
bm_iri	bm_ire_4
bm_iri	bm_tbe_2
bm_iri	bm_tre_2
bm_iri	bm_tre_4
bm_tri	bm_ibe_2
bm_tri	bm_ire_2
bm_tri	bm_ire_4
bm_tri	bm_tbe_2
bm_tri	bm_tre_2
bm_tri	bm_tre_4
bm_iri_3	bm_ibe_2
bm_iri_3	bm_ire_2
bm_iri_3	bm_ire_4
bm_iri_3	bm_tbe_2
bm_iri_3	bm_tre_2
bm_iri_3	bm_tre_4
bm_tri_3	bm_ibe_2
bm_tri_3	bm_ire_2
bm_tri_3	bm_ire_4
bm_tri_3	bm_tbe_2
bm_tri_3	bm_tre_2
bm_tri_3	bm_tre_4
bm_tbi	bm_ibe_2
bm_tbi	bm_ire_2
bm_tbi	bm_ire_4
bm_tbi	bm_tbe_2
bm_tbi	bm_tre_2
bm_tbi	bm_tre_4
ct	bm_ibe_2
ct	bm_ire_2
ct	bm_ire_4
ct	bm_tbe_2
ct	bm_tre_2
ct	bm_tre_4
anything	double_bond
bracket	double_bond
anything	triple_bond
bracket	triple_bond
anything	quadruple_bond
bracket	quadruple_bond
anything	aromatic_bond
bracket	aromatic_bond
anything	no_bond
bracket	no_bond
anything	bm_ibi
bracket	bm_ibi
bm_ibe_2	bm_ibi
bm_ire_2	bm_ibi
bm_ire_4	bm_ibi
bm_tbe_2	bm_ibi
bm_tre_2	bm_ibi
bm_tre_4	bm_ibi
bm_ibi	bm_ibi
bm_iri	bm_ibi
bm_tri	bm_ibi
bm_iri_3	bm_ibi
bm_tri_3	bm_ibi
bm_tbi	bm_ibi
ct	bm_ibi
anything	bm_iri
anything	bm_tri
anything	bm_iri_3
anything	bm_tri_3
bracket	bm_iri
bracket	bm_tri
bracket	bm_iri_3
bracket	bm_tri_3
bm_ibe_2	bm_iri
bm_ibe_2	bm_tri
bm_ibe_2	bm_iri_3
bm_ibe_2	bm_tri_3
bm_ire_2	bm_iri
bm_ire_2	bm_tri
bm_ire_2	bm_iri_3
bm_ire_2	bm_tri_3
bm_ire_4	bm_iri
bm_ire_4	bm_tri
bm_ire_4	bm_iri_3
bm_ire_4	bm_tri_3
bm_tbe_2	bm_iri
bm_tbe_2	bm_tri
bm_tbe_2	bm_iri_3
bm_tbe_2	bm_tri_3
bm_tre_2	bm_iri
bm_tre_2	bm_tri
bm_tre_2	bm_iri_3
bm_tre_2	bm_tri_3
bm_tre_4	bm_iri
bm_tre_4	bm_tri
bm_tre_4	bm_iri_3
bm_tre_4	bm_tri_3
bm_ibi	bm_iri
bm_ibi	bm_tri
bm_ibi	bm_iri_3
bm_ibi	bm_tri_3
bm_iri	bm_iri
bm_iri	bm_tri
bm_iri	bm_iri_3
bm_iri	bm_tri_3
bm_tri	bm_iri
bm_tri	bm_tri
bm_tri	bm_iri_3
bm_tri	bm_tri_3
bm_iri_3	bm_iri
bm_iri_3	bm_tri
bm_iri_3	bm_iri_3
bm_iri_3	bm_tri_3
bm_tri_3	bm_iri
bm_tri_3	bm_tri
bm_tri_3	bm_iri_3
bm_tri_3	bm_tri_3
bm_tbi	bm_iri
bm_tbi	bm_tri
bm_tbi	bm_iri_3
bm_tbi	bm_tri_3
ct	bm_iri
ct	bm_tri
ct	bm_iri_3
ct	bm_tri_3
anything	bm_tbi
bracket	bm_tbi
bm_ibe_2	bm_tbi
bm_ire_2	bm_tbi
bm_ire_4	bm_tbi
bm_tbe_2	bm_tbi
bm_tre_2	bm_tbi
bm_tre_4	bm_tbi
bm_ibi	bm_tbi
bm_iri	bm_tbi
bm_tri	bm_tbi
bm_iri_3	bm_tbi
bm_tri_3	bm_tbi
bm_tbi	bm_tbi
ct	bm_tbi
bm_ibe_2	ct
bm_ire_2	ct
bm_ire_4	ct
bm_tbe_2	ct
bm_tre_2	ct
bm_tre_4	ct
bm_ibi	ct
bm_iri	ct
bm_tri	ct
bm_iri_3	ct
bm_tri_3	ct
bm_tbi	ct
anything	anything
bracket	anything
anything	bracket
